10 Things I Hate About You,1999,Gil Junger,"Comedy, Teen","As a general rule, teen movies based on classic works of literature are always good."
28 Days Later,2002,Danny Boyle,"Horror, Sci-Fi, Zombie",One of the best Zombie movies ever. That's before I include my Cillian Murphy bias
400 Blows,1959,François Truffaut,Drama,Cause if you like movies you should be watching Truffaut
"Aguirre, Wrath of God",1972,Werner Herzog,"Aventure, Biography",Need to watch at least one Herzog/Kinski collaboration in your life
Airplane,1980,"Jim Abrahams , ETC",Comedy,So you can laugh
Aliens,1986,James Cameron,"Action, Sci-Fi, Thriler",Sigourney is an alien ball-buster. This movie is a champion
Amelie,2001,Jean-Pierre Jeunet,"Fantasy, Romance",Audry Tatou is the cutest little french girl
Annie Hall,1977,Woody Allen,"Comedy, Romance","Diane Keaten is adorable, Woody Allen is manageable, and Jeff Goldblum has the greatest cameo ever"
Antonia's Line,1995,Marleen Gorris,Drama,"Matriarchy and all that. But seriously, don't fuck with these ladies"
Away From Her,2006,Sarah Polley,Drama,It's so SAAAAAAD. In...a good way.
Bad Lieutenant,1992,Abel Ferrara,"Drama, Crime",Just for Harvey Keitel's final scene
Bad Lieutenant - Port of Call: New Orleans,2009,Werner Herzog,"Drama, Crime, Awesome","If you have ever liked Nicholas Cage, ever."
Badlands,1973,Terrence Malick,"Drama, Crima, Romance","All Malick is a must, and Sissy Spacek is irrisistable "
Battle Royal,2000,Kinji Fukasaku,"Action, Thriller",These kids have to kill each other!
Being There,1979,Hal Ashby,"Drama, Comedy","A very different role for Peter Sellers, and of course it's Hal Ashby"
Blood Simple,1984,"Joel Coen, Ethan Coen","Crime, Thriller","You'd marry Francis McDormand too, after watching this movie"
Blue Velvet,1986,David Lynch,"Thriller, Drama, Lynchian","Dennis Hopper, Man! Dennis Hopper. Say no more."
Boogie Nights,1997,Paul Thomas Anderson,Drama,"Anything Paul Thomas Anderson does, you must watch"
Boondock Saints,1999,Troy Duffy,"Action, Crime",Good looking Irish boys go vigilante. And Willem Dafoe
Breathless,1960,Jean-Luc Godard,"Romance, Drama",The french are so attractive and hip
Bronson,2008,Nicolas Winding Refn,"Quirky, Crime Drama, Comedy",Weird but awesome.
Chinatown,1974,Roman Polanski,"Crime, Drama, Mystery","Because otherwise, every time you say ""Forget it Jake, it's Chinatown"", you're just a fool"
City of God,2002,"Fernando Meirelles, Kátia Lund",Drama,It's beautiful and not as sad as you've been told
Clueless,1995,Amy Heckerling,"Comedy, Teen",Don't be put of by this movie just because you're a dude. It's good. Always and forever
Das Boot,1981,Wolfgang Petersen,"Action, Drama, Boats",I accidently rented the 5 hour uncut version and it was still awesome
Days of Heaven,1978,Terrence Malick,"Drama, Romance",It was shot entirely at the golden hour. And Richard Gere is fiiiiiine
"Decent, The",2005,Neil Marshall,"Horror, Adventure",It's freaky! Well done horror
Deliverance,1972,John Boorman,"Action, Thriller",So you can be afraid of rednecks just like the rest of us
Die Hard: With a Vengeance,1995,John McTiernan,"Action ,Crime",Classic 90s action. Can't beat it
"Dirty Mary, Crazy Larry",1974,John Hough,"Action, Car-Chase","Peter Fonda is so awesome, and so were the 70s"
Do the Right Thing,1989,Spike Lee,"Drama, Hot","The opeing sequence is Rosie Perez dancing her heart out to ""Fight the Power"". It only gets better from there"
Dogtooth,2009,Giorgos Lanthimos,"Drama, Weird-Out",Cause there's not much else like this. 
Dogville,2003,Lars von Trier,"Drama, Mystery, Thriller","Really unique setting, not super ""weird-out"" like other Von Trier, and just a straigt up great flick"
Donnie Brasco,1997,Mike Newell,"Crime, Drama",So you can forgive Johnny Depp for doing all those Pirate movies
Down By Law,1986,Jim Jarmusch,"Comedy, Drama, ","Tom Waits is great, and Roberto Begnini is...Italian"
Dr. Death,1999,Errol Morris,Documentary,Who doesn't want to know this much about the electric chair. And Nazis
Easy A,2010,Will Gluck,"Comedy, Teen",This movie is so damn likeable.
Escape From New York,1981,John Carpenter,"Adventure, Post-Apocalytpic, Action",Because John Carpenter makes the best soundtracks and Kurt Russell wears an eyepatch so well
Event Horizon,1997,Paul W.S. Anderson,"Sci-Fi, SPACE!, Horror",Does space scare you?
Fallen Angels,1995,Kar Wai Wong,"Crime, Romance",I don't know. Just watch it
Fargo,1996,"Joel Coen, Ethan Coen","Crime, Drama, Thriller",Must watch all Coen movies
Fear and Loathing in Las Vegas,1998,Terry Gilliam,"Drama, Adventure","The perfect storm. It's great when the right director is chosen for the right story, and the right actors are get cast."
